alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1750659895.9392,elite,95.954805594325,1720481522.9219,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Cloudflare London, LLC",51.5072,-0.127586,false,"Invermae Solutions SL",false,England,success,Europe/London,W1B,1752321890,1752833175.2322,80,http,http://185.238.228.10:80,false,331.21299743652,13073,4561,74.135193376432,185.238.228.10
true,1750567496.7721,elite,100.46750747364,1742382540.7083,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752382115,1752833174.7851,80,http,http://185.221.160.233:80,false,33.953905105591,12333,900,93.198821128996,185.221.160.233
true,1750603040.1945,elite,101.66363653639,1742541325.5923,"AS397273 Render",RENDER,"San Francisco","North America",NA,"United States",US,"South of Market",false,Render,37.7775,-122.397,false,Render,false,California,success,America/Los_Angeles,94107,1752418060,1752833174.7547,80,http,http://216.24.57.147:80,false,83.934545516968,12287,2980,80.480775528919,216.24.57.147
true,1750574145.4331,elite,98.761991357062,1742623447.9459,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Vilnius,Europe,EU,Lithuania,LT,,true,"Lrtc Network",54.6884,25.2152,false,"SC ""Lithuanian Radio and TV Center""",false,Vilnius,success,Europe/Vilnius,04347,1752389108,1752833174.6979,80,http,http://89.116.250.238:80,false,95.014095306396,12535,675,94.890234670704,89.116.250.238
true,1752833174.6646,transparent,5929.9322824849,1729166867.9023,"AS328539 Giga for Telecommunication and Technology Limited",Giga-Communication,Tripoli,Africa,AF,Libya,LY,,false,GZA,32.8908,13.1796,false,"Giga Telecommunication and Technology Limited",true,Tripoli,success,Africa/Tripoli,,1752435820,1752833174.6646,8080,http,http://102.38.29.36:8080,false,6211.1439704895,11640,147595,7.3099507017929,102.38.29.36
true,1750602623.7066,elite,99.532320157681,1742334176.4365,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752417667,1752833174.6466,80,http,http://102.177.176.132:80,false,123.23117256165,12539,3447,78.437382709871,102.177.176.132
true,1751958598.9162,elite,94.386279419677,1720503527.8893,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Paris,Europe,EU,France,FR,,true,CLOUDFLARE,48.8566,2.35222,false,,false,Île-de-France,success,Europe/Paris,75000,1752323252,1752833174.6197,80,http,http://141.101.120.155:80,false,64.195871353149,13143,4591,74.111875493403,141.101.120.155
true,1750586145.7992,elite,99.724352925134,1742343156.2612,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752400967,1752833174.5351,80,http,http://45.67.215.199:80,false,264.18209075928,12336,874,93.3838001514,45.67.215.199
true,1750602662.6717,elite,100.44574082364,1742394726.8329,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Vilnius,Europe,EU,Lithuania,LT,,true,"Lrtc Network",54.6884,25.2152,false,"SC ""Lithuanian Radio and TV Center""",false,Vilnius,success,Europe/Vilnius,04347,1752417486,1752833174.0809,80,http,http://89.116.250.89:80,false,42.678833007812,12518,3991,75.82530740808,89.116.250.89
true,1751958701.0569,elite,99.400860133535,1720503022.2442,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,"North America",NA,Canada,CA,,true,"Cloudflare, Inc.",43.6532,-79.3832,false,"Cloudflare, Inc.",false,Ontario,success,America/Toronto,M5A,1752330096,1752833173.8285,80,http,http://108.162.192.36:80,false,51.154375076294,12907,1944,86.909972392431,108.162.192.36
true,1750600742.8755,elite,100.7090242366,1742636096.3216,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752416141,1752833173.7971,80,http,http://45.67.215.177:80,false,228.8920879364,12471,3118,79.99871704407,45.67.215.177
true,1750601140.4853,elite,98.816254008396,1742567408.3741,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Vilnius,Europe,EU,Lithuania,LT,,true,"Lrtc Network",54.6884,25.2152,false,"SC ""Lithuanian Radio and TV Center""",false,Vilnius,success,Europe/Vilnius,04347,1752415748,1752833173.6527,80,http,http://89.116.250.250:80,false,143.29648017883,13077,7358,63.993149009053,89.116.250.250
true,1750603060.4427,elite,99.092141119515,1742715102.9027,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752417828,1752833173.4846,80,http,http://69.84.182.195:80,false,51.007509231567,12583,3178,79.836304802995,69.84.182.195
true,1750568406.8113,elite,100.78696679031,1742569435.1986,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752382999,1752833173.4569,80,http,http://185.221.160.204:80,false,20.58482170105,12313,509,96.030260489783,185.221.160.204
true,1750609833.5374,elite,98.900426866871,1742343002.3306,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752539842,1752833173.2534,80,http,http://216.205.52.242:80,false,44.916391372681,12731,3785,77.0828287721,216.205.52.242
true,1750601029.1491,elite,100.86904830733,1742394945.3547,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752416009,1752833173.1821,80,http,http://170.114.45.218:80,false,63.970327377319,12233,3281,78.85136006188,170.114.45.218
true,1750508414.3601,elite,96.249870553043,1720453671.067,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Paris,Europe,EU,France,FR,,true,CLOUDFLARE,48.8566,2.35222,false,,false,Île-de-France,success,Europe/Paris,75000,1752474862,1752833172.773,80,http,http://141.101.120.241:80,false,141.56913757324,13259,6390,67.479261031096,141.101.120.241
true,1750622010.5799,elite,99.808343055868,1750622010.5799,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752436817,1752833172.5936,80,http,http://102.177.176.201:80,false,197.28016853333,12105,0,100,102.177.176.201
true,1750506687.7733,elite,98.860824114674,1720452675.4989,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Paris,Europe,EU,France,FR,,true,CLOUDFLARE,48.8566,2.35222,false,,false,Île-de-France,success,Europe/Paris,75000,1752300853,1752833172.5921,80,http,http://141.101.120.135:80,false,218.63412857056,12740,2482,83.694652476678,141.101.120.135
true,1752826694.3975,elite,5019.8937561226,1710634448.6805,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Tokyo,Asia,AS,Japan,JP,,true,"Alibaba (US) Technology Co., Ltd.",35.6893,139.6899,false,"Alibaba.com Singapore E-Commerce Private Limited",true,Tokyo,success,Asia/Tokyo,102-0082,1752627502,1752833172.2968,3128,http,http://8.209.255.13:3128,false,878.55052947998,405950,209439,65.966404989364,8.209.255.13
true,1750600821.1861,elite,98.534974849097,1742383340.6685,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Vilnius,Europe,EU,Lithuania,LT,,true,"Lrtc Network",54.6884,25.2152,false,"SC ""Lithuanian Radio and TV Center""",false,Vilnius,success,Europe/Vilnius,04347,1752415470,1752833171.9421,80,http,http://89.116.250.27:80,false,114.92943763733,12793,3295,79.518896071606,89.116.250.27
true,1750602541.6668,elite,100.07475289084,1742551368.5528,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752417582,1752833171.4536,80,http,http://45.67.215.108:80,false,113.15250396729,12493,2945,80.923694779116,45.67.215.108
true,1752833171.2522,elite,4539.302783419,1750304564.1387,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Guangzhou,Asia,AS,China,CN,,false,"China Mobile communications corporation",23.1317,113.266,true,"China Mobile",false,Guangdong,success,Asia/Shanghai,510000,1752747115,1752833171.2522,9357,http,http://117.161.170.163:9357,false,4318.3104991913,2580,11036,18.948296122209,117.161.170.163
true,1750602827.7583,elite,101.93241847906,1742659032.5785,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",false,"North West",success,Asia/Singapore,858877,1752417586,1752833171.21,80,http,http://45.8.211.187:80,false,191.53499603271,12491,3136,79.932168682409,45.8.211.187
true,1751960954.4456,elite,101.68263647291,1742342062.9065,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752417965,1752833171.09,80,http,http://185.221.160.183:80,false,55.890083312988,12593,3274,79.365979706309,185.221.160.183
true,1750609786.9764,elite,100.89710032335,1742451862.5572,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752424749,1752833171.0197,80,http,http://69.84.182.91:80,false,89.128255844116,12535,4045,75.603136308806,69.84.182.91
true,1750559458.2194,elite,102.43028796488,1742475261.9042,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,"Central Water Catchment",true,"Cloudflare London, LLC",1.35208,103.82,false,"Tang Dynastic Technology Pte. LTD",false,"North West",success,Asia/Singapore,858877,1752373936,1752833170.992,80,http,http://45.8.211.17:80,false,125.88334083557,12401,834,93.698526633925,45.8.211.17
true,1751960883.902,elite,99.196620314497,1743177197.8025,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752415803,1752833170.4783,80,http,http://69.84.182.158:80,false,179.75354194641,13110,6398,67.203198687718,69.84.182.158
true,1750602788.6876,elite,98.868049485711,1742477022.3285,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752417905,1752833170.3728,80,http,http://216.205.52.213:80,false,120.361328125,12579,3204,79.699676867516,216.205.52.213
true,1750603091.3337,elite,99.252349569148,1745122890.4209,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Redwood City","North America",NA,"United States",US,,true,"Cloudflare London, LLC",37.3767,-122.0198,false,"Box, Inc",false,California,success,America/Los_Angeles,94086,1752418025,1752833170.1746,80,http,http://103.116.7.54:80,false,152.02713012695,12425,2514,83.171564361738,103.116.7.54
true,1751958499.9848,elite,99.294717629827,1742487295.1899,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752365791,1752833169.9745,80,http,http://216.205.52.135:80,false,75.628280639648,12404,799,93.948345073089,216.205.52.135
true,1750609485.8197,elite,98.789164625236,1742451859.633,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752424487,1752833169.7832,80,http,http://185.221.160.212:80,false,91.29524230957,12632,3261,79.481532750267,185.221.160.212
true,1751475915.5427,elite,98.561951532393,1742335602.6113,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752365914,1752833169.6654,80,http,http://102.177.176.145:80,false,157.81188011169,12267,880,93.306457747015,102.177.176.145
true,1751958454.3851,elite,101.00120193865,1742363185.8505,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752395815,1752833169.5319,80,http,http://185.221.160.187:80,false,176.87964439392,12277,894,93.212360488953,185.221.160.187
true,1751958668.3133,elite,99.866167146902,1742475427.4985,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752418226,1752833169.2473,80,http,http://170.114.45.92:80,false,401.01432800293,12237,3186,79.342540361797,170.114.45.92
true,1752306874.401,elite,100.17634932969,1742485331.5054,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752417238,1752833169.0739,80,http,http://216.205.52.233:80,false,152.85587310791,12570,3209,79.662843019203,216.205.52.233
true,1752833168.6219,elite,7233.5244227847,1714026944.0255,"AS7552 Viettel Group",VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,false,"Viettel Corporation",21.0278,105.834,false,"Viettel Group",false,Hanoi,success,Asia/Bangkok,,1752730095,1752833168.6219,1080,socks4,socks4://116.106.110.18:1080,true,11902.920007706,1236,123040,0.99456049438347,116.106.110.18
true,1750602872.9921,elite,98.009468850961,1742363072.5154,"AS397273 Render",RENDER,"San Francisco","North America",NA,"United States",US,"South of Market",false,Render,37.7775,-122.397,false,Render,false,California,success,America/Los_Angeles,94107,1752417570,1752833168.5296,80,http,http://216.24.57.122:80,false,18.537998199463,12572,3276,79.328621908127,216.24.57.122
true,1750609571.1292,elite,110.45894837426,1742588920.4041,"AS14197 HEALTH MARKET SCIENCE",HMS-ASN,"Boca Raton","North America",NA,"United States",US,,false,"Health Market Science",26.4076,-80.0977,false,"LexisNexis Risk Data Management Inc",false,Florida,success,America/New_York,33487,1752424267,1752833168.3792,80,http,http://69.84.182.219:80,false,72.323560714722,12776,2942,81.282605929508,69.84.182.219
true,1751958463.1908,elite,101.83425575699,1742381470.9026,"AS201839 Zaymer PJSC",ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,false,"MFC Zaymer LLC",55.0247,82.9259,false,"Zaymer PJSC",false,"Novosibirsk Oblast",success,Asia/Novosibirsk,630075,1752418106,1752833168.0213,80,http,http://45.67.215.65:80,false,49.216032028198,12415,3278,79.111705856114,45.67.215.65
true,1750591434.8731,elite,99.346386650101,1742571560.3688,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752406442,1752833167.7406,80,http,http://170.114.45.133:80,false,152.45413780212,12227,526,95.87548027915,170.114.45.133
true,1750600962.4044,elite,101.09628759753,1742333261.0818,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752415948,1752833167.7128,80,http,http://102.177.176.17:80,false,48.21515083313,12365,3293,78.969217013667,102.177.176.17
true,1750558379.3986,elite,98.673698277451,1742498898.5986,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752373092,1752833167.6401,80,http,http://170.114.46.162:80,false,69.395780563354,12284,759,94.180786628843,170.114.46.162
true,1750609361.2637,elite,99.800047145859,1742393427.1179,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752424100,1752833167.59,80,http,http://170.114.45.190:80,false,47.784328460693,12392,3266,79.141652829225,170.114.45.190
true,1750600881.0519,elite,100.33608070357,1742333063.0042,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752415779,1752833167.2724,80,http,http://102.177.176.65:80,false,112.80226707458,12341,3284,78.9824,102.177.176.65
true,1751960885.7956,elite,94.570827121312,1720479177.9264,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,"United Kingdom",GB,,true,"Cloudflare London, LLC",51.5072,-0.127586,false,"Invermae Solutions SL",false,England,success,Europe/London,W1B,1752491171,1752833167.0724,80,http,http://185.238.228.107:80,false,100.08025169373,13277,5913,69.187076602397,185.238.228.107
true,1750602514.2748,elite,100.92635024586,1742338584.7546,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"New York","North America",NA,"United States",US,,true,"Cloudflare London, LLC",40.7191,-74.0091,false,"Olo Inc",false,"New York",success,America/New_York,10013,1752416971,1752833166.9418,80,http,http://216.205.52.40:80,false,450.36721229553,12349,3255,79.139964111766,216.205.52.40
true,1750585571.7276,elite,100.80043750292,1742333452.8212,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Gerondata LTD",50.1109,8.68213,false,"Gerondata LTD",false,Hesse,success,Europe/Berlin,60313,1752400174,1752833166.7949,80,http,http://102.177.176.185:80,false,101.32765769958,12205,907,93.082672361196,102.177.176.185
true,1750609217.1609,elite,101.02733346457,1742382885.7048,"AS397273 Render",RENDER,"San Francisco","North America",NA,"United States",US,"South of Market",false,Render,37.7775,-122.397,false,Render,false,California,success,America/Los_Angeles,94107,1752423921,1752833166.6892,80,http,http://216.24.57.204:80,false,39.38627243042,12367,3282,79.027413892261,216.24.57.204
true,1750603331.1181,elite,99.514394368873,1742509383.3252,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Moscow,Europe,EU,Russia,RU,,true,"Cloudflare London, LLC",55.8273,37.4661,false,"""BaltTrade"" LLC",false,Moscow,success,Europe/Moscow,,1752418289,1752833166.429,80,http,http://185.221.160.223:80,false,220.75200080872,12357,3095,79.970230390888,185.221.160.223
true,1750508905.6286,elite,142.50657730441,1720504147.0102,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Ashburn,"North America",NA,"United States",US,,true,"Cloudflare, Inc.",39.0438,-77.4874,false,"Cloudflare, Inc.",false,Virginia,success,America/New_York,20149,1752520171,1752833166.388,80,http,http://108.162.198.18:80,false,195.66822052002,13419,5183,72.137404580153,108.162.198.18
true,1750528228.6221,elite,97.577805719777,1742825784.1251,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,"San Jose","North America",NA,"United States",US,"Ballbach and SOFA",true,"Cloudflare London, LLC",37.3329,-121.895,false,"Zoom Video Communications, Inc",false,California,success,America/Los_Angeles,95113,1752343110,1752833166.2075,80,http,http://170.114.46.122:80,false,377.44426727295,12479,757,94.280749471139,170.114.46.122
true,1752829157.2813,elite,203.32968379471,1750187038.8391,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Amsterdam,Europe,EU,Netherlands,NL,,true,"Microsoft Corporation",52.3667,4.9,false,"Microsoft Azure Cloud (westeurope)",false,"North Holland",success,Europe/Amsterdam,1047,1752606537,1752833166.1659,80,http,http://108.141.130.146:80,false,808.65001678467,14197,11,99.922578828829,108.141.130.146
