tool_id,tool_name,tool_url
6660,ChatGPT,https://chatgpt.com
13820,Qwen,https://qwenlm.ai
12057,Grok,https://x.ai
12052,DataBricks,https://databricks.com
778,Deel,https://deel.com
21649,Sora,https://sora.com
733,Grammarly,https://grammarly.com
13698,Supabase,https://supabase.com
12163,CoreWeave,https://coreweave.com
6552,Epidemic Sound,https://epidemicsound.com
741,MiroAI,https://miro.com
12102,Airtable,https://airtable.com
12176,Ramp,https://ramp.com
6629,Coda,https://coda.io
13070,Hugging Face,https://huggingface.co
729,Nextiva,https://nextiva.com
12126,VisualCode,https://branch.io
834,Imagine by Meta,https://meta.ai
13811,Kimi,https://kimi.ai
722,Wix,https://wix.com
12214,Clickup,https://clickup.com
772,Anduril,https://anduril.com
764,Synk Code,https://snyk.io
13095,Loom AI,https://loom.com
3403,Procore Technologies,https://procore.com
3726,HomeByte,https://flyhomes.com
6760,Synthesia,https://synthesia.io
837,AnimatedDrawings,https://sketch.metademolab.com
833,Llama,https://llama.com
5571,Inflection,https://inflection.ai
12090,CircleCI,https://circleci.com
720,UiPath,https://uipath.com
874,Lemonade,https://lemonade.com
12975,Superhuman,https://superhuman.com
806,Nvidia / NeMo,https://build.nvidia.com
6554,Mixpanel Spark,https://mixpanel.com
4320,n8n,https://n8n.io
6748,LambdaTest,https://lambdatest.com
685,CCC Information Services,https://cccis.com
12121,Notion,https://notion.com
797,CGI,https://cgi.com
774,Metropolis,https://metropolis.io
13063,Groq,https://groq.com
705,Palantir/ AIP,https://palantir.com
4524,Alan,https://alan.com
12182,Claude,https://claude.ai
6756,Retool,https://retool.com
12159,Donovan,https://scale.com
748,Insider,https://useinsider.com
13666,Kittl,https://kittl.com
5716,Suno,https://suno.com
5984,Mistral AI,https://mistral.ai
740,Dialpad,https://dialpad.com
12093,Intercom,https://intercom.com
6719,Neuralink,https://neuralink.com
911,prolific.com,https://prolific.com
867,Tricentis,https://tricentis.com
4962,Warp AI,https://warp.dev
12113,Segment,https://segment.com
6563,Kajabi,https://kajabi.com
4077,Arc,https://arc.net
725,AlphaSense,https://alpha-sense.com
12509,Pond5,https://pond5.com
4858,Raycast AI,https://raycast.com
12047,Unity,https://unity.com
3151,Clay,https://clay.com
6733,AI21Labs,https://ai21.com
12119,Kore.ai,https://kore.ai
6576,Vidyard,https://vidyard.com
10105,Lovable,https://lovable.dev
3529,Whimsical Mind Maps,https://whimsical.com
6632,Droom Technology,https://droom.in
765,Verily,https://verily.com
5910,Genspark.ai,https://genspark.ai
876,Tempus Labs,https://tempus.com
4090,Attio,https://attio.com
12155,Paradox ai,https://paradox.ai
12175,Glean,https://glean.com
12040,Genesys,https://genesys.com
6762,Weights & Biases,https://wandb.ai
21795,Opera,https://opera.com
12729,Framer,https://framer.com
6824,Writer’s AI Content Detector,https://writer.com
6630,DataCamp,https://datacamp.com
3076,Air,https://air.inc
6613,Sendbird,https://sendbird.com
836,Segment Anything,https://segment-anything.com
13580,Riverside,https://riverside.fm
7210,Mindbody,https://mindbodyonline.com
13456,Pitch,https://pitch.com
12029,SambaNova Systems,https://sambanova.ai
